ID,Author
1,Archibald Macleish
2,Asil Bunting
3,Carl Sandburg
4,Christopher Marlowe
5,Conrad Aiken
6,D. H. Lawrence
7,Duchess Of Newcastle Margaret Cavendish
8,E. E. Cummings
9,Edgar Lee Masters
10,Edith Sitwell
11,Edmund Spenser
12,Elinor Wylie
13,En Jonson
14,Ezra Pound
15,Ford Madox Ford
16,George Chapman
17,George Gascoigne
18,George Santayana
19,Gertrude Stein
20,Giovanni Battista Guarini
21,Guillaume Apollinaire
22,Hart Crane
23,"Henry Howard, Earl Of Surrey"
24,"Henry Viii, King Of England"
25,Hugh Macdiarmid
26,Isabella Whitney
27,Ivor Gurney
28,James Joyce
29,John Donne
30,John Fletcher
31,John Skelton
32,Katherine Mansfield
33,Kenneth Fearing
34,Kenneth Slessor
35,Lady Mary Wroth
36,Louis Untermeyer
37,Louise Bogan
38,Malcolm Cowley
39,Marianne Moore
40,Marjorie Pickthall
41,Michael Anania
42,Mina Loy
43,Orlando Gibbons
44,Paul Laurence Dunbar
45,Queen Elizabeth I
46,Richard Aldington
47,Richard Barnfield
48,"Robert Southwell, Sj"
49,Samuel Daniel
50,Samuel Greenberg
51,Sara Teasdale
52,"Second Baron Vaux Of Harrowden Thomas, Lord Vaux"
53,Sir Edward Dyer
54,Sir Philip Sidney
55,Sir Thomas Wyatt
56,Sir Walter Ralegh
57,Stephen Spender
58,T. S. Eliot
59,Thomas Bastard
60,Thomas Campion
61,Thomas Heywood
62,Thomas Lodge
63,Thomas Nashe
64,Wallace Stevens
65,William Butler Yeats
66,William Byrd
67,William Shakespeare
